fruta_id,es_grande,es_pesada,textura_firme,sin_defectos_superficie,color_homogeneo,calidad_real
PRM019,1,1,0,1,1,premium
COM116,1,1,0,1,0,comercial
DES159,0,0,1,0,1,descarte
COM064,0,0,1,0,0,comercial
COM079,0,0,0,0,0,comercial
COM104,0,0,0,1,1,comercial
COM073,0,0,0,0,0,comercial
PRM028,1,1,0,1,0,premium
DES168,0,0,1,0,1,descarte
DES131,0,0,1,0,1,descarte
PRM052,1,1,0,0,1,premium
DES154,1,1,1,0,1,descarte
PRM005,1,1,0,1,1,premium
DES121,0,1,1,1,0,descarte
DES167,0,0,1,0,1,descarte
PRM042,1,1,1,1,1,premium
COM105,0,0,0,1,1,comercial
DES179,0,0,1,0,0,descarte
DES148,0,1,1,1,0,descarte
DES139,0,0,1,1,1,descarte
COM101,0,0,0,1,0,comercial
COM114,0,0,0,1,0,comercial
DES136,0,0,1,0,0,descarte
DES180,0,0,1,0,0,descarte
COM112,1,1,0,1,1,comercial
DES135,0,0,1,0,0,descarte
COM094,0,0,0,1,1,comercial
COM069,0,0,1,1,0,comercial
PRM022,1,1,0,1,0,premium
DES162,0,0,1,0,1,descarte
COM078,1,1,0,0,0,comercial
PRM010,1,1,1,1,1,premium
COM083,0,0,0,0,0,comercial
DES149,0,0,1,1,1,descarte
COM090,1,0,0,0,0,comercial
PRM035,1,1,0,0,0,premium
COM086,1,1,0,1,0,comercial
DES160,0,0,1,1,1,descarte
PRM046,1,1,0,1,0,premium
PRM048,1,1,0,1,1,premium
DES133,0,0,1,0,1,descarte
PRM047,1,1,1,0,1,premium
COM107,1,0,0,1,0,comercial
COM082,1,1,0,0,0,comercial
PRM059,1,1,0,1,0,premium
DES174,1,1,0,0,0,descarte
PRM049,1,1,1,0,1,premium
PRM013,1,1,1,1,1,premium
COM111,1,1,0,1,0,comercial
DES126,0,0,1,1,0,descarte
COM110,1,0,0,1,0,comercial
PRM011,1,1,1,1,1,premium
PRM038,1,1,0,1,1,premium
COM099,0,0,0,1,0,comercial
PRM030,1,1,1,1,0,premium
COM085,0,0,0,1,0,comercial
DES137,0,0,1,1,0,descarte
PRM018,1,1,1,0,1,premium
PRM050,1,1,0,1,0,premium
COM093,0,0,0,0,0,comercial
COM076,0,0,0,0,0,comercial
PRM021,1,1,1,0,1,premium
COM097,0,0,0,1,1,comercial
PRM032,1,1,1,1,0,premium
COM118,0,0,0,1,0,comercial
PRM012,1,1,1,0,0,premium
COM068,0,0,1,0,1,comercial
COM089,1,0,0,1,0,comercial
COM092,0,0,0,1,0,comercial
PRM025,1,1,1,0,1,premium
COM098,0,0,0,1,1,comercial
DES166,0,0,1,1,1,descarte
DES173,1,1,0,0,0,descarte
COM087,0,0,1,0,0,comercial
DES165,0,0,1,0,1,descarte
PRM040,1,1,0,1,0,premium
DES153,0,1,1,1,1,descarte
COM088,0,0,0,1,0,comercial
DES169,0,0,1,1,1,descarte
PRM041,1,1,0,1,1,premium
PRM002,1,1,1,0,1,premium
COM072,0,0,0,0,0,comercial
DES151,0,1,1,0,1,descarte
COM115,1,1,0,1,0,comercial
PRM057,1,1,0,1,0,premium
COM108,1,1,0,1,0,comercial
DES172,0,0,1,0,1,descarte
PRM051,1,1,0,1,0,premium
DES144,0,0,1,0,1,descarte
DES178,1,1,1,0,0,descarte
DES155,0,0,1,1,0,descarte
DES130,0,0,1,1,1,descarte
PRM060,1,1,0,1,0,premium
PRM056,1,1,0,1,1,premium
PRM024,1,1,0,1,0,premium
PRM008,1,1,1,1,1,premium
PRM009,1,1,1,1,1,premium
COM109,1,0,0,1,0,comercial
DES152,1,1,1,1,0,descarte
PRM023,1,1,0,1,1,premium
DES140,0,0,1,1,1,descarte
PRM027,1,1,0,1,0,premium
PRM036,1,1,0,0,1,premium
PRM058,1,1,1,0,1,premium
COM063,0,0,0,0,0,comercial
COM071,0,0,0,0,0,comercial
PRM007,1,1,0,1,1,premium
PRM029,1,1,1,1,0,premium
DES164,0,0,1,0,0,descarte
