fruta_id,es_esferica,cascara_rugosa,tiene_tallo,densidad_alta,pigmentacion_oscura,color_uniforme,tipo_real
FC093,1,1,0,1,1,1,citrico
FC076,1,1,0,0,1,0,citrico
FM021,1,0,0,1,1,0,carozo
FC097,1,1,0,1,1,1,citrico
FM032,1,1,0,1,0,0,carozo
FC118,1,1,0,1,1,1,citrico
FM012,1,0,0,1,1,1,carozo
FC068,1,0,0,1,1,1,citrico
FC089,1,1,0,0,0,0,citrico
FC092,1,1,0,1,1,1,citrico
FM025,1,1,0,1,1,1,carozo
FC098,1,1,0,0,1,1,citrico
FT166,0,1,0,1,1,0,tropical
FT173,0,1,0,1,1,1,tropical
FC087,1,1,0,0,1,0,citrico
FT165,0,1,0,0,0,0,tropical
FM040,1,0,0,1,0,1,carozo
FT153,0,1,0,0,1,0,tropical
FC088,1,0,0,0,0,0,citrico
FT169,0,1,0,1,1,0,tropical
FM041,1,0,0,1,1,1,carozo
FM002,1,0,0,1,1,1,carozo
FC072,1,1,0,1,1,0,citrico
FT151,0,1,0,0,1,0,tropical
FC115,1,1,0,1,1,1,citrico
FM057,1,1,0,0,0,1,carozo
FC108,1,1,0,1,1,1,citrico
FT172,0,1,0,1,1,0,tropical
FM051,1,1,0,1,1,1,carozo
FT144,0,1,0,1,0,1,tropical
FT178,0,1,0,0,0,1,tropical
FT155,0,1,0,0,1,0,tropical
FT130,0,1,0,1,0,1,tropical
FM060,1,1,0,1,1,1,carozo
FM056,1,1,0,1,0,1,carozo
FM024,1,1,0,0,1,1,carozo
FM008,1,0,0,1,1,1,carozo
FM009,1,1,0,0,1,0,carozo
FC109,1,1,0,1,1,1,citrico
FT152,0,1,0,0,1,0,tropical
FM023,1,1,0,1,1,1,carozo
FT140,0,1,0,0,0,0,tropical
FM027,1,1,0,1,1,1,carozo
FM036,1,1,0,1,1,1,carozo
FM058,1,0,0,1,0,1,carozo
FC063,1,1,0,1,0,0,citrico
FC071,1,1,0,0,0,1,citrico
FM007,1,1,0,1,0,1,carozo
FM029,1,0,0,1,0,1,carozo
FT164,0,1,0,0,0,1,tropical
